SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
D H Bills,China Wreck; USS Huron,Daniel Jones,Bark,1861.0,"Boston, MA",,1880.0,3,,Delaware Breakwater E 3.5 mi,,,38.9108325,-75.5276699,Foundered in storm,Wood,England,167.0,28.0,18.0,594.0,,"Newport, England","Chepstow, England","Wilmington, NC",Sjobeck,13.0,,13.0,,,"China, Salt",,Y,Y,N,Full of china & artifacts,38.9108325,-75.5276699
Forest Oak,,H Parlis et al,Schooner 3 masted,1871.0,"East New Haven, CT",1880-11-21,1880.0,11,21,Hereford Light  E 3 mi,,,-,-,"Collision w/ ""Bessie Morris""",,,128.2,32.3,11.2,327.0,,"New Haven, CT","Baltimore, MD","New Haven, CT",C H Chambers,,,,,,509 ton coal,,Y,Y,N,#9960; Sank,,
Melchior,Elizabeth Cushing,J A Schwoon,Bark,1857.0,"Newburyport, MA",1880-04-30,1880.0,4,30,Seabright LSS S 1.5 mi,40.35975,-73.97151,-,-,Wrecked,,,167.0,30.8,23.6,986.0,,"Bremen, Germany","Bremen, Germany","New York, NY",Wierichs,18.0,,0.0,13000.0,2000.0,Petroleum Barrels & salt,Sea Bright #2 & #3,A,Y,N,"Total loss; Formerly ""Elizabeth Cushing""",40.35975,-73.97151
Little Moses,,,Sloop,,,1880-11-01,1880.0,11,1,Turtle Gut Inlet North bar,,,-,-,Grounded,,,28.7,11.0,3.4,5.7,,"Bridgeton, NJ",,,,2.0,,,,,Coal,Two mile Beach #38,N,N,N,#15554; Refloated,,
Ovetta,,John G Harvey,Schooner,1858.0,"North Post, LI, NY",1880-11-07,1880.0,11,7,Hereford Shoal,,,52.056398,-2.715974,Stranded,,,92.0,25.7,7.6,127.71,105.0,"New Haven, CT","New Haven, CT","Rappahanock River,VA",John G Harvey,8.0,,,8000.0,,,Hereford #36,N,N,N,#19043; Refloated,52.056398,-2.715974
L and A Babcock (1880),,L A Babcock,Schooner,1866.0,"Absecon, NJ",1880-04-18,1880.0,4,18,Townsends Inlet North bar,,,39.1265265,-74.7114399,Stranded,Wood,US,118.0,31.0,10.0,255.0,,"Absecon, NJ","Gardiner, ME","Philadelphia, PA",Smith,7.0,,0.0,5000.0,400.0,Ice,,N,N,N,#14742; Refloated,39.1265265,-74.7114399
Bessie Morris,,John Mager Sr,Schooner 3 masted,1869.0,"Philadelphia, PA",1880-11-21,1880.0,11,21,Hereford Light  E 3 mi,,,-,-,"Collision w/ ""Forest Oak""",Wood,,129.2,31.6,15.9,425.0,425.0,"Philadelphia, PA","Providence, RI","Philadelphia, PA",John Mager Jr,7.0,,0.0,12000.0,,,,,,N,,,
James S Hewitt,,E Foster,Schooner,1855.0,"Cape May, NJ",1880-09-04,1880.0,9,4,Atlantic City LSS N .25 mi,,,39.3642834,-74.4229266,Stranded,Wood,US,108.8,28.7,10.8,204.0,,"Philadelphia, PA","Boston, MA","Philadelphia, PA",,6.0,,0.0,,,In ballast,Atlantic City #27,N,N,N,#13370; Refloated,39.3642834,-74.4229266
John E Dailey,,James Bliss,Schooner,1860.0,"St George, ME",1880-10-03,1880.0,10,3,Sandy Hook East Beach,,,41.4218208,-73.2833176,Sank,,,100.0,27.0,9.5,184.0,174.0,"St George, ME","Georgetown, DC","New York, NY",Miller,,,,,,279 ton Coal,,Y,Y,N,#12056; Total loss,41.4218208,-73.2833176
Tropic,,Joseph Potter,Brig,1870.0,"Church Point, NS",1880-03-16,1880.0,3,16,Long Beach LSS N 1 mi,39.59621,-74.21083,33.7700504,-118.1937395,Stranded,,,91.0,25.3,10.0,157.0,,"Port-au-Prince, Haiti","Miragoane, Haiti","New York, NY",Potter,7.0,,7.0,8000.0,4000.0,Logwood,Long Beach #21,A,Y,N,Total loss,39.59621,-74.21083
Flash (1880),,,Sloop,1878.0,"Perth Amboy, NJ",1880-01-03,1880.0,1,31,Barnegat Inlet,,,39.7660179,-74.1016824,Grounded,,,31.0,11.6,3.9,9.0,8.36,"Perth Amboy, NJ","Seabright, NJ","Barnegat, NJ",Morton,2.0,,0.0,1000.0,,,Barnegat,,,N,#120338,39.7660179,-74.1016824
James M Hall (1880),,H Hill,Schooner,1879.0,"Milford, DE",1880-04-12,1880.0,4,12,Little Egg Inlet Shoal,,,39.4917259,-74.3162211,Stranded,Wood,US,90.4,27.2,5.5,87.0,67.0,"Philadelphia, PA","New York, NY","Norfolk, VA",Davis,5.0,,0.0,8000.0,2000.0,Assorted cargo,Little Egg #23,N,N,N,#26084; Refloated,39.4917259,-74.3162211
John C Cottingham,,Thomas Ayers,Schooner 3 masted,1872.0,"Camden, NJ",1880-07-30,1880.0,7,30,Sandy Hook ESE 30 mi,,,41.4218208,-73.2833176,In distress; Leaking,,,111.0,20.5,8.8,226.0,,"Philadelphia, PA",Maine,"Philadelphia, PA",Thomas Ayers,,,,,,Ice,Pilot boat #4,N,N,N,"#75428; Towed in by ""A Walcott""",41.4218208,-73.2833176
Susan Jane (1880),,James Andrews,Schooner,1876.0,"Greenbank, NJ",1880-11-16,1880.0,11,16,Little Egg Harbor shoal,,,39.6204823,-74.319235,Grounded; Lost rudder,,,66.6,23.9,5.5,49.2,46.0,"Tuckerton, NJ","Tuckerton, NJ","New York, NY",James Andrews,6.0,,0.0,1800.0,507.0,Charcoal & hay,Little Egg 23 & Little Beach 24,N,N,N,#22531; Refloated,39.6204823,-74.319235
Light Boat,,S N Hatch,Schooner,1861.0,"Frankfort, ME",1880-02-03,1880.0,2,3,Long Branch N 1 mi,40.29898,-73.97519,40.3042778,-73.9923596,Stranded in storm,Wood,,81.0,22.0,10.9,114.0,,"Rockland, ME","Norfolk, VA","New York, NY",J H Tallman,5.0,,0.0,2500.0,4000.0,6800 bushels corn,Long Beach #21,A,Y,Y,#15069; Total loss,40.29898,-73.97519
Samarang,,F H Van Leeuwen,Bark,1865.0,"Medford, MA",1880-11-07,1880.0,11,7,Sandy Hook bar,,,40.4333496,-73.9885498,"Collision w/ ""Germanic""",,Netherlands,162.3,35.1,25.6,1076.0,,"Rotterdam, Holland","New York, NY","Liverpool, England",A Lehmann,,,,,43500.0,"59,000 bushel corn",,Y,Y,N,Broke up; No crew found,40.4333496,-73.9885498
Jacob E Ridgeway,,J E Ridgeway,Schooner 3 masted,1873.0,"Nyack, NY",1880-02-01,1880.0,2,1,Sandy Hook,,,41.4218208,-73.2833176,Damaged in hurricane,,US,123.0,32.0,10.3,291.0,,"Philadelphia, PA","New York, NY","Para, Brazil",J C Townsend,8.0,,0.0,15000.0,26500.0,General merchandise,,N,N,N,#75569; No assistance requested,41.4218208,-73.2833176
Hattie M Howes,,,Schooner 3 masted,1869.0,"Providence, RI",1880-09-28,1880.0,9,28,Sandy Hook,,,41.4218208,-73.2833176,"Collision w/ ""Chalmette""",,,113.0,29.1,8.5,197.0,,"Providence, RI","New Orleans, LA","New York, NY",,,,,,,,,N,N,N,#11959 Towed to NY; Partial loss,41.4218208,-73.2833176
Lydia Middleton,,,Schooner,1875.0,"Barnegat, NJ",1880-07-25,1880.0,7,25,"Long Branch, NJ",,,40.3042778,-73.9923596,"Collision w/ ""E H Williams""",,,120.0,33.0,9.9,147.0,,"Barnegat, NJ","New York, NY",Virginia,Charles B Bounell,,,,,,,,N,N,N,#140138; Partial loss,40.3042778,-73.9923596
Electa Bailey (1880),,R S Graham,Schooner 3 masted,1868.0,"Petersburg, NJ",1880-07-03,1880.0,7,3,Cape May,,,38.9351125,-74.9060053,Stranded,,,118.0,31.1,9.3,344.04,326.84,"Philadelphia, PA","Gardiner, ME","Philadelphia, PA",Smith,7.0,,0.0,,,Ice,Cape May #40,N,N,N,#8392  Refloated,38.9351125,-74.9060053
Castalia,,,Brig,1874.0,"Richmond, ME",1880-02-03,1880.0,2,3,"Highlands, NJ",`,,40.40372,-73.991527,Grounded in storm,,,130.7,30.8,17.0,516.26,490.45,"Bath, ME","Galveston, TX","New York, NY",Elmes,11.0,,0.0,12000.0,94000.0,Cotton,Seabright #3,N,N,N,#125233; Refloated,,-73.991527
C H Foster,,C H Foster,Schooner 3 masted,1872.0,"Duxbury, MA",1880-09-28,1880.0,9,28,Barnegat Inlet NE 1.5 mi,,,39.7660179,-74.1016824,Grounded in fog,,US,126.0,30.2,14.6,385.0,,"Boston, MA","Boston, MA","Philadelphia, PA",Coombs,7.0,,,,,In ballast,"Forked River, Island Beach, Barnegat, Loveladies",N,N,N,#125054; Refloated,39.7660179,-74.1016824
Ella Hodson,,T J Steward,Schooner,1864.0,"Bangor, ME",1880-08-05,1880.0,8,5,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded,,,103.9,27.8,8.0,197.0,,"Bangor, ME","Perth Amboy, NJ","Boston, MA",,,,,,,Coal,,,,N,#7072,41.4218208,-73.2833176
Kate Newman,,,Schooner,1874.0,"Tremont, ME",1880-02-02,1880.0,2,2,Monmouth Beach E 2 mi,40.42500,-73.96666,40.3303883,-73.9815262,"Collision w/ ""Stephen Harding""",,,97.0,27.6,8.0,146.0,,"Tremont, ME","Baltimore, MD","Davenport, MA",,5.0,,4.0,,,Coal,,A,Y,N,#14302; Total loss,40.425,-73.96666
Emma C Babcock,,John Wallace et al,Schooner 3 masted,1873.0,"Goshen, NY",1880-02-03,1880.0,2,3,Monmouth Beach N .25 mi,40.34475,-73.97075,40.3303883,-73.9815262,Grounded in gale,Wood,US,113.5,29.9,9.1,228.28,,"Somers Point, NJ","James River, VA","New York, NY",Isaac Treen,7.0,,0.0,16000.0,1200.0,Pinewood,Monmouth Beach #4,A,Y,N,#8915; Total loss,40.34475,-73.97075
Douglass,,G Wood,Bark,1867.0,"Prince Edward Island, CA",1880-04-04,1880.0,4,4,Pecks Beach,,,39.246322,-74.6123601,Wrecked in heavy fog,Wood,England,117.2,26.7,14.9,322.0,311.0,"North Shields, England","Santos, SA","New York, NY",Farrell,10.0,,0.0,8000.0,17000.0,Old railroad iron,Pecks Beach #31,Y,Y,N,#57062; Total loss,39.246322,-74.6123601
Angie Predmore (1880),,John Predmore,Schooner,1869.0,"Barnegat, NJ",1880-12-26,1880.0,12,26,Little Beach,,,20.6349333,-156.4518024,Stranded,,,81.3,24.9,7.2,93.9,,"Tuckerton, NJ",,,,6.0,,0.0,2500.0,2000.0,,Little Beach,N,N,N,#1799; Refloated,20.6349333,-156.4518024
Arctic,,,Brig,1874.0,"Wilmot, ON, CA",1881-11-23,1881.0,11,23,Squan Point LSS E 400 yds,40.11651,-74.02663,-,-,Stranded & burned,,England,112.2,28.2,12.5,274.0,,"Annapolis, NS","Trieste, Austria","New York, NY",Oxelgren,9.0,,0.0,8000.0,40000.0,General,Squan Point #11,A,Y,N,Total loss,40.11651,-74.02663
Ada F Crosby,,John Baizley & Sons,Bark,1875.0,"Calais, ME",1881-10-05,1881.0,10,5,Del-Mar-Va E 200 mi,37.50000,-72.33330,38.5826603,-75.5276699,Leaking; Abandoned at sea,Wood,US,140.0,32.2,14.8,559.31,,"Philadelphia, PA","Philadelphia, PA","Portland, ME",A F Ullmer,10.0,0.0,1.0,42000.0,3500.0,819 ton Coal,,F,Y,N,#105648; Total loss; Rescued by Mary C Haskell,37.5,-72.3333
Anson Stimson,,Pigeon Hill Granite Co,Schooner 3 masted,1874.0,"Salisbury, MA",1881-01-16,1881.0,1,16,Atlantic City LSS N 1.25 mi,39.37884,-74.39656,39.3642834,-74.4229266,Stranded in fog,,US,117.6,28.0,9.2,224.0,,"Gloucester, MA","Macoris, San Domingo","New York, NY",McLane,6.0,1.0,0.0,17000.0,18000.0,"Sugar, molasses",Atlantic City #28,A,Y,Y,#105397; Total loss,39.37884,-74.39656
Zetland,,C D Snow,Brig,1872.0,Nova Scotia,1881-11-02,1881.0,11,2,Beasleys LSS SW 2 mi,39.26269,-74.59155,35.7769778,-78.6381333,Stranded,,England,112.2,29.0,12.5,288.0,237.0,"Liverpool, NS","Turks Is., West Indies","Philadelphia, PA",D C Hicks,9.0,,0.0,10000.0,5000.0,Salt,Beasleys #30 & Pecks #31,A,Y,N,#66732; Total loss,39.26269,-74.59155
Hattie S Collins,,,Schooner,1867.0,"East Haven, CT",1881-03-28,1881.0,3,28,Barnegat Inlet North side,,,39.7660179,-74.1016824,Grounded,,,97.0,26.0,7.0,122.77,116.63,"New Haven, CT","Boothbay, ME","Barnegat, NJ",,5.0,,0.0,5000.0,400.0,30 ton Ice,,,,N,#11341,39.7660179,-74.1016824
Lizzie K Clark,,Clark & Sons,Schooner,1869.0,"Essex, MA",1881-03-25,1881.0,3,25,Barnegat SSE 20 mi,,,39.7649223,-74.2693297,Capsized in storm,,,78.0,21.0,7.0,79.19,,"Gloucester, MA","Gloucester, MA",Fishing cruise,Ambrose Melanson,14.0,,0.0,5000.0,3323.0,,,Y,Y,N,Total loss; Crew rescued by Pilot Boat #3,39.7649223,-74.2693297
Roraima,,Thoe Ruger,Steamship,1879.0,"Hartlepool, England",1881-02-01,1881.0,2,1,Shark River Inlet,,,40.186885,-74.0039382,Stranded,Iron,England,225.6,31.0,17.2,1178.0,761.0,"London, England","Demerara, British Guiana","New York, NY",,21.0,2.0,0.0,,,In ballast,Shark River # 7,N,N,Y,Refloated,40.186885,-74.0039382
D M Anthony (1881),,,Schooner,1873.0,"Fall River, MA",1881-12-27,1881.0,12,27,Sandy Hook LSS NNE 1.5 mi,,,41.4218208,-73.2833176,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton, MA","Baltimore, MD","Boston, MA",Moore,8.0,,0.0,25000.0,2500.0,Coal,Sandy Hook #1,N,N,N,#6798; Refloated,41.4218208,-73.2833176
Shekinah (1881),,,Schooner,1869.0,"Millville, NJ",1881-05-01,1881.0,5,1,Cold Spring Inlet South bar,,,-,-,Stranded,,,80.6,22.3,6.0,83.5,,"Bridgeton, NJ","Malden, NY","Cape May, NJ",Shaw,5.0,,0.0,,,Stone flagging,Cape May #39,N,N,N,#115018; Refloated,,
Blanche Hopkins (111881),,J A Hopkins,Schooner,1880.0,"Coopers Point, NJ",1881-11-08,1881.0,11,8,Great Egg Harbor,,,39.2914894,-74.5917278,"Collision w/ ""Hatteras""",Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,8.0,,0.0,33000.0,4200.0,850 ton coal,,N,N,N,#3136; Repaired,39.2914894,-74.5917278
Transit,,Thos Duntham's Nephew & Co,Ship,1860.0,"Bath, ME",1881-04-14,1881.0,4,14,Toms River LSS N 1 mi,,,39.9537358,-74.1979458,Stranded,Wood,,172.0,35.0,23.0,1133.0,,"Bath, ME","Liverpool, England","New York, NY",Robert T A Hagen,16.0,,0.0,,,General,Toms River #13,N,N,N,#24058; Refloated; Near Old Cranberry Inlet,39.9537358,-74.1979458
Hatteras,,Old Dominion SS Co,Steamship,1865.0,"Williamsburg, LI",1881-11-08,1881.0,11,8,Great Egg Harbor,,,39.2914894,-74.5917278,"Collision w/ ""Blanche Hopkins""",Wood,US,171.5,33.5,10.3,868.0,,"New York, NY",,,Boaz,,,0.0,,,,,N,N,N,#11477; Returned to New York for repairs,39.2914894,-74.5917278
Blanche Hopkins (051881),,J A Hopkins,Schooner,1880.0,"Coopers Point, NJ",1881-05-15,1881.0,5,15,Cold Spring Inlet,,,-,-,Stranded,Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA","Boston, MA","Philadelphia, PA",,8.0,,0.0,,,In Ballast,Cape May #39,N,N,N,#3136; Refloated,,
E J Hamilton,,,Schooner,1873.0,"Nyack, NY",1881-05-20,1881.0,5,20,Sandy Hook Point,,,40.4716971,-74.0167147,Stranded,,,111.0,30.0,8.0,188.0,178.67,"New York, NY",Virginia,"New York, NY",Inman,6.0,,0.0,5000.0,1000.0,Wood,,N,N,N,#8923; Refloated,40.4716971,-74.0167147
Margharita Lauro,,Lauro Bros,Bark,1861.0,"Sunderland, England",1881-01-18,1881.0,1,18,,,,,,Disabled,,Italy,112.0,27.2,16.6,309.0,309.0,Castellammare de Stabia. Italy,,,,,,,,,,,N,N,N,Towed into New York,,
E B Fithian (1881),,C A Clemont,Schooner,1864.0,"Greenwich, NJ",1881-09-21,1881.0,9,21,Hereford Inlet South bar,,,39.01094,-74.7834445,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Hog Island, VA","New York, NY",J B Higbee,3.0,,0.0,1500.0,1000.0,21 ton sweet potato,Hereford Inlet #36,N,N,N,#8020; Refloated,39.01094,-74.7834445
Carrie S Webb (1881),,Bentley Gildersleeve & Co,Schooner,1867.0,"Westerly, RI",1881-03-01,1881.0,3,1,,,,-,-,Stranded,,,100.0,28.6,9.0,196.0,,"Brookhaven, NY",Puerto Rico,"New York, NY",,7.0,,0.0,,,,,Y,Y,N,#5425; Sunk,,
Ajace,,E R Zino,Bark,1872.0,"Voltri, Italy",1881-03-04,1881.0,3,4,"Rockaway Shoals, NY",40.54812,-73.92411,40.592658,-73.7977928,Stranded,Wood,Italy,144.0,32.0,19.0,566.0,,"Genoa, Italy","Antwerp, Belgium","New York, NY",F Morice,15.0,0.0,14.0,,,Iron rails; barrels,NY #36,A,Y,N,Total loss,40.54812,-73.92411
N N,,"Cramer, Haighton & Co",Schooner 3 masted,1868.0,Venersberg,1881-03-19,1881.0,3,19,Little Egg LSS N 1.5 mi,39.51670,-74.27963,-,-,Wrecked,,Netherlands,96.8,23.5,11.5,181.0,176.0,"Amsterdam, Netherlands","Samarang, Java","New York, NY",Van Duzvenbode,7.0,,0.0,5000.0,100000.0,Coffee & Rattan,Little Egg #22 & 23,A,Y,N,Ship lost; crew saved,39.5167,-74.27963
William D Carghill,,,Schooner,1854.0,"Brooklyn, NY",1881-04-03,1881.0,4,3,Brigantine Shoal,,,39.387617,-74.3345893,Stranded,,,94.5,26.2,8.1,140.94,133.19,"Rockland, ME",,,,4.0,,,,,Lumber,"Brigantine #25, Atlantic City #27",N,N,N,#26647; Refloated,39.387617,-74.3345893
Charles M Newins (1881),,W H Thompson,Schooner,1860.0,"Port Jefferson, NY",1881-01-28,1881.0,1,28,Barnegat LSS E 1 mi,,,39.7649223,-74.2693297,Grounded,Wood,US,113.0,30.3,15.8,384.11,364.91,"New York, NY","Mobile, AL","New York, NY",Tuttle,7.0,,0.0,10000.0,5000.0,,,N,N,N,#4780; Refloated,39.7649223,-74.2693297
Jefferson,,Tupper & Beattie,Schooner 3 masted,1874.0,"Brooklyn, NY",1882-12-14,1882.0,12,14,Barnegat Shoal,,,39.7705251,-74.26185,Grounded,Wood,US,124.6,30.0,11.5,325.0,,"New York, NY","Mobile, AL","New York, NY",J E Gibbs,8.0,,0.0,20000.0,12000.0,Lumber,Barnegat #17,N,N,N,#75639; Refloated,39.7705251,-74.26185
Thomas W H White,,,Schooner 3 masted,1867.0,"Tuckerton, NJ",1882-04-12,1882.0,4,12,Sandy Hook LSS NNW 3.25 mi,,,41.4218208,-73.2833176,Stranded,,,114.6,29.6,9.2,214.0,203.03,"New York, NY",Virginia,"New York, NY",Smith,6.0,,0.0,16000.0,2000.0,Pine wood,Sandy Hook,N,N,N,#24956; Refloated,41.4218208,-73.2833176
Mary E Amsden,,,Schooner,1865.0,"Portsmouth, NH",1882-11-05,1882.0,11,5,Cape May,,,38.9351125,-74.9060053,Leaking in a gale,,,,,11.6,344.08,326.8,"Calais, ME","New York, NY","Richmond, VA",Maguire,8.0,,0.0,15000.0,15000.0,"RR iron, blasting powder, & soda",,N,N,N,#16176; Towed to Philadelphia for repairs,38.9351125,-74.9060053
William L White,,J B Phillips,Schooner,1880.0,"Bath, ME",1882-11-19,1882.0,11,19,Five Fathom Bank Lightship ESE 30 mi,,,-32.1944444,115.6113889,"Collision w/ ""Algiers""",Wood,,177.9,40.0,17.0,995.0,,"Fall River, MA","Alexandria, VA","Providence, RI",W J Harper,9.0,,0.0,55000.0,8500.0,1450 ton coal,,Y,Y,N,#80770; Total loss,-32.1944444,115.6113889
William C Wickham,,Z S Steelman,Schooner,1880.0,"Milford, DE",1882-01-02,1882.0,1,2,Brigantine Shoal,39.42135,-74.33004,39.387617,-74.3345893,Stranded,Wood,,131.6,32.6,10.7,329.82,,,"New York, NY","Richmond, VA",Z S Steelman,7.0,,0.0,25000.0,30000.0,500 ton RR Iron & steel,Atlantic City,N,N,N,#80785; Refloated; no damage,39.42135,-74.33004
Pliny,,"Liverpool, Brazil, River Platt SS Co",Steamship,1878.0,"Barrow, England",1882-05-13,1882.0,5,13,Deal Beach,40.23611,-73.99166,40.2512782,-73.9921853,Stranded,Iron,England,288.0,33.3,24.0,1671.0,1060.0,"Liverpool, England","Rio de Janiero, Brazil","New York, NY",Robert Mitchell,36.0,25.0,0.0,200000.0,258000.0,"Coffee, hides, etc","Long Branch #5, Shark River #7",A,Y,Y,#1327; Total loss,40.23611,-73.99166
Thetis (1882),,F Gogorzas & Sons,Brig,1871.0,"Baltimore, MD",1882-03-16,1882.0,3,16,Ship Bottom LSS S .25 mi,,,39.642897,-74.1804159,Stranded in storm,Wood,US,128.0,27.0,14.1,323.0,,"New York, NY","Bonaire, WI","New York, NY",Yuist,8.0,6.0,0.0,12000.0,15000.0,Salt & Rye wood,"Harvey Cedars #19, Ship Bottom #20, Long Beach #21",N,N,N,#24863; Total loss,39.642897,-74.1804159
Maggie Ellen,,,Schooner 3 masted,1874.0,"Cape Elizabeth, ME",1882-04-22,1882.0,4,22,Atlantic City LSS ENE 5 mi,39.38744,-74.32432,39.3642834,-74.4229266,Stranded,,,110.0,28.8,8.6,217.44,206.57,"Portland, ME","Kennebec River, ME","Atlantic City, NJ",Littlejohn,6.0,,0.0,8000.0,1800.0,,Atlantic City #27 & 25,N,N,N,#90630; Refloated,39.38744,-74.32432
Three Cheers,,J A Moren & Co,Brig,1873.0,"Guysborough, NS",1882-03-24,1882.0,3,24,Ship Bottom SW 1 mi,,,39.642897,-74.1804159,Stranded,Wood,England,102.0,25.8,11.2,185.0,,"Halifax, NS","Manzamillo, Cuba","New York, NY",B McConnell,7.0,,0.0,6000.0,18000.0,Sugar & Molasses,Ship Bottom,N,N,N,#69051; Refloated,39.642897,-74.1804159
James W Drury (1882),,Kilham Lord & Co,Schooner 3 masted,1872.0,"East Boston, MA",1882-09-10,1882.0,9,10,Townsends Inlet E 1 mi,,,39.1265265,-74.7114399,Stranded in storm,Wood,US,144.9,32.8,16.4,451.0,,"Boston, MA","Bath, ME","Philadelphia, PA",Studley,8.0,,0.0,25000.0,700.0,Ice,,N,N,N,#75534; Refloated,39.1265265,-74.7114399
W J Stairs,,Alex Roy,Bark,1879.0,"Maitland, NS",1882-03-02,1882.0,3,2,Long Branch LSS N 1 mi,40.28888,-73.97222,40.3042778,-73.9923596,Stranded,Wood,England,189.0,33.2,22.0,1062.0,,"Maitland, NS","Liverpool, England","New York, NY",Kenneth McKenzie,14.0,,1.0,30000.0,7000.0,Salt,Long Beach #21,A,Y,N,Total loss,40.28888,-73.97222
Lizzie D Small,,Elwood Doran,Schooner,1866.0,,1882-12-30,1882.0,12,30,Squan Beach,,,-,-,Collision w/ unknown steamer,Wood,US,109.3,27.0,8.3,185.15,180.72,"Philadelphia, PA","New York, NY","Petersburg, VA",George W Warwick,6.0,,1.0,12000.0,5000.0,Guano,,N,N,Y,#15065; Partial loss,,
Shekinah (1882),,,Schooner,1869.0,"Millville, NJ",1882-01-30,1882.0,1,30,Little Egg LSS S 1 mi,,,-,-,Grounded,,,80.6,22.3,6.0,83.5,,"Bridgeton, NJ","Chincoteague, VA","New York, NY",Shaw,4.0,,0.0,3000.0,250.0,Cordwood,Little Egg #23,N,N,N,#115018; Refloated,,
Nuphar,,J Robinson & Co,Steamship,1881.0,"Newcastle, England",1882-09-23,1882.0,9,23,Townsends Inlet SE 2 mi,,,39.1265265,-74.7114399,Wrecked,Iron,England,287.0,37.0,21.9,1963.0,1280.0,"North Shields, England","New Castle, England","Philadelphia, PA",Brooks,23.0,,0.0,150000.0,150000.0,General,,Y,Y,N,#84860; Total loss,39.1265265,-74.7114399
Maggie Stuphen,,,Schooner,1879.0,"Port Republic, NJ",1882-07-06,1882.0,7,6,Ship Bottom LSS S 1 mi,,,39.642897,-74.1804159,Grounded,Wood,,41.8,14.4,4.5,16.48,15.66,"Somers Point, NJ","New York, NY","Great Egg Harbor, NJ",Smith,2.0,,,1500.0,25.0,Coal,Ship Bottom #20,N,N,N,#91192; Refloated,39.642897,-74.1804159
Rachel S Miller,,E B Wheaton & Co,Schooner,1852.0,"Philadelphia, PA",1882-03-04,1882.0,3,4,"Ocean City, NJ",,,39.2776156,-74.5746001,Stranded,Wood,,100.4,27.8,9.1,196.15,,"Camden, NJ","Norfolk, VA","Port Elizabeth, NJ",Conover,5.0,0.0,0.0,3500.0,600.0,Ties & lumber,,,,N,#21502,39.2776156,-74.5746001
George W Clyde,,W P Clyde Co,Steamship,1872.0,"Philadelphia, PA",1882-04-28,1882.0,4,28,Sandy Hook Romer Shoal Stone Beacon,,,41.4218208,-73.2833176,"Collision w/ ""Nankin""",Iron,US,254.0,35.0,19.6,1801.0,,"New York, NY","New York, NY","San Domingo, Dom Repub",James Holmes,,26.0,0.0,,,,,N,N,N,Partial loss; Later sank in 1896,41.4218208,-73.2833176
Isaac L Clark,Rober Moore,Dare B Mulford,Schooner 3 masted,1874.0,"Bridgeton, NJ",1882-12-17,1882.0,12,17,Sandy Hook Point,,,40.4716971,-74.0167147,Stranded,,,120.8,32.0,8.2,318.0,,"Camden, NJ","Georgetown, DC","New York, NY",E A Cranmer,7.0,,0.0,15000.0,3000.0,507 tons coal,Sandy Hook,N,N,N,"#100109; Renamed ""Rober Moore""",40.4716971,-74.0167147
Nankin,,G V Clover,Steamship,1872.0,England,1882-04-28,1882.0,4,28,Sandy Hook Romer Shoal Stone Beacon,,,41.4218208,-73.2833176,"Collision w/ ""George W Clyde""",Iron,England,330.6,38.0,26.0,2423.0,1850.0,"London, England","New York, NY","Liverpool, England",Casson,38.0,,0.0,,,In ballast,Sandy Hook #1,Y,Y,N,Broke up; total loss,41.4218208,-73.2833176
Annie L Palmer,,,Schooner,1874.0,"Bath, ME",1882-03-13,1882.0,3,13,Island Beach LSS N 1 mi,,,-,-,Stranded,,,87.6,25.2,8.5,119.2,113.24,"Bath, ME","Baracoa, Cuba","New York, NY",Lewis,6.0,,0.0,7000.0,900.0,Fruit,Island Beach #16,N,N,N,#105422 Refloated,,
James Jones,,William Tilton,Schooner,1858.0,"Bass River, NJ",1883-10-31,1883.0,10,31,Barnegat Shoal,,,39.7705251,-74.26185,Stranded,Wood,US,109.0,29.6,9.6,253.0,,"Perth Amboy, NJ","Philadelphia, PA","Somerset, MA",Townsend,6.0,,0.0,5000.0,1000.0,Coal,Barnegat & Forked River,Y,Y,N,#13351; Total loss,39.7705251,-74.26185
M B Mahoney,,,Schooner,1853.0,"Wilmington, DE",1883-09-26,1883.0,9,26,Brigantine Shoal,,,39.387617,-74.3345893,Stranded,,,84.5,25.2,8.5,123.0,116.83,"Castine, ME","Bangor, ME","Philadelphia, PA",L Perkins,4.0,1.0,0.0,2500.0,1800.0,Lumber,,N,N,N,#16269; Refloated,39.387617,-74.3345893
